continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
South America,Bolivia,2020-08-19,11673029,NULL,0.00
Europe,Slovakia,2020-11-22,5459643,NULL,0.00
North America,Anguilla,2021-02-21,15002,NULL,0.00
Europe,Belarus,2020-05-02,9449321,NULL,0.00
South America,Chile,2020-08-07,19116209,NULL,0.00
South America,Brazil,2020-09-27,212559409,NULL,0.00
Europe,Germany,2020-03-04,83783945,NULL,0.00
Asia,Palestine,2020-05-13,5101416,NULL,0.00
North America,Saint Lucia,2020-03-28,183629,NULL,0.00
Africa,Tunisia,2020-10-26,11818618,NULL,0.00
Africa,Niger,2021-04-23,24206636,NULL,0.00
Europe,Spain,2020-12-08,46754783,NULL,0.00
North America,Guatemala,2021-02-07,17915567,NULL,0.00
Africa,Guinea-Bissau,2020-03-25,1967998,NULL,0.00
Europe,Netherlands,2020-06-06,17134873,NULL,0.00
Africa,Sudan,2021-02-27,43849269,NULL,0.00
North America,Trinidad and Tobago,2020-07-07,1399491,NULL,0.00
Oceania,Solomon Islands,2020-12-17,686878,NULL,0.00
Asia,United Arab Emirates,2020-07-18,9890400,NULL,0.00
Europe,Portugal,2020-05-23,10196707,NULL,0.00
Africa,Uganda,2020-11-14,45741000,NULL,0.00
Europe,United Kingdom,2020-11-28,67886004,NULL,0.00
Europe,Croatia,2020-09-22,4105268,NULL,0.00
Africa,Egypt,2020-04-12,102334403,NULL,0.00
Europe,Poland,2020-07-25,37846605,NULL,0.00
Europe,Slovenia,2020-02-12,2078932,NULL,0.00
Europe,Croatia,2020-04-04,4105268,NULL,0.00
South America,Guyana,2020-07-24,786559,NULL,0.00
Asia,Iran,2020-12-29,83992953,NULL,0.00
Asia,Northern Cyprus,2021-03-21,NULL,NULL,0.00
Asia,Palestine,2020-05-20,5101416,NULL,0.00
Africa,Seychelles,2021-03-31,98340,NULL,0.00
Africa,Zambia,2020-06-03,18383956,NULL,0.00
North America,El Salvador,2020-12-22,6486201,NULL,0.00
Africa,Liberia,2020-05-09,5057677,NULL,0.00
Asia,Oman,2020-06-08,5106622,NULL,0.00
North America,Panama,2020-07-11,4314768,NULL,0.00
North America,Belize,2020-09-08,397621,NULL,0.00
Africa,Cameroon,2020-06-07,26545864,NULL,0.00
South America,Ecuador,2020-10-31,17643060,NULL,0.00
Europe,Portugal,2020-06-23,10196707,NULL,0.00
Africa,Chad,2020-11-09,16425859,NULL,0.00
Africa,Ethiopia,2020-10-06,114963583,NULL,0.00
Africa,Namibia,2021-01-01,2540916,NULL,0.00
Asia,Sri Lanka,2020-02-05,21413250,NULL,0.00
Africa,Uganda,2020-05-27,45741000,NULL,0.00
Asia,Laos,2020-06-27,7275556,NULL,0.00
Africa,Lesotho,2020-11-08,2142252,NULL,0.00
Europe,Lithuania,2020-05-20,2722291,NULL,0.00
South America,Brazil,2020-05-03,212559409,NULL,0.00
Asia,Cambodia,2020-09-08,16718971,NULL,0.00
Africa,Cote d'Ivoire,2020-07-15,26378275,NULL,0.00
Africa,Djibouti,2021-03-11,988002,NULL,0.00
Africa,Gabon,2020-04-20,2225728,NULL,0.00
Asia,Iraq,2020-12-05,40222503,NULL,0.00
Asia,Japan,2020-10-15,126476458,NULL,0.00
Europe,Russia,2020-10-27,145934460,NULL,0.00
Africa,Cape Verde,2020-07-19,555988,NULL,0.00
Europe,Cyprus,2021-02-03,875899,NULL,0.00
Asia,Qatar,2020-06-16,2881060,NULL,0.00
Africa,Rwanda,2020-06-24,12952209,NULL,0.00
Europe,Switzerland,2021-01-21,8654618,NULL,0.00
Europe,Iceland,2020-02-29,341250,NULL,0.00
Asia,Jordan,2020-07-03,10203140,NULL,0.00
Africa,Malawi,2020-07-31,19129955,NULL,0.00
Africa,Senegal,2020-08-29,16743930,NULL,0.00
Asia,Syria,2020-04-08,17500657,NULL,0.00
Africa,Zimbabwe,2020-10-28,14862927,NULL,0.00
Europe,Bosnia and Herzegovina,2020-05-31,3280815,NULL,0.00
Asia,Qatar,2020-12-11,2881060,NULL,0.00
Africa,Seychelles,2020-10-04,98340,NULL,0.00
Africa,Zambia,2020-11-28,18383956,NULL,0.00
Asia,India,2020-07-19,1380004385,NULL,0.00
Asia,Kuwait,2020-11-30,4270563,NULL,0.00
Africa,Mauritius,2021-04-13,1271767,NULL,0.00
North America,Antigua and Barbuda,2021-03-21,97928,NULL,0.00
North America,Canada,2020-02-18,37742157,NULL,0.00
Africa,Comoros,2020-06-20,869595,NULL,0.00
Oceania,Marshall Islands,2020-12-06,59194,NULL,0.00
Africa,Mauritania,2020-03-31,4649660,NULL,0.00
Oceania,Solomon Islands,2020-12-24,686878,NULL,0.00
Africa,Ghana,2020-09-24,31072945,NULL,0.00
Asia,Iraq,2020-06-10,40222503,NULL,0.00
North America,Jamaica,2020-05-12,2961161,NULL,0.00
Africa,Sao Tome and Principe,2021-01-16,219161,NULL,0.00
Africa,South Africa,2020-12-31,59308690,NULL,0.00
Africa,Burundi,2020-11-05,11890781,NULL,0.00
Africa,Egypt,2020-10-07,102334403,NULL,0.00
Asia,Kyrgyzstan,2020-08-09,6524191,NULL,0.00
Europe,Belgium,2020-09-17,11589616,NULL,0.00
Europe,Bulgaria,2020-03-27,6948445,NULL,0.00
North America,Cuba,2020-12-19,11326616,NULL,0.00
Africa,Egypt,2021-04-03,102334403,NULL,0.00
Africa,Namibia,2020-07-07,2540916,NULL,0.00
Africa,Nigeria,2020-07-09,206139587,NULL,0.00
Africa,Algeria,2021-01-06,43851043,NULL,0.00
Oceania,Australia,2020-09-19,25499881,NULL,0.00
Europe,Estonia,2020-07-12,1326539,NULL,0.00
Africa,Eswatini,2020-03-26,1160164,NULL,0.00
Asia,Azerbaijan,2021-03-06,10139175,NULL,0.00
Asia,Malaysia,2020-03-16,32365998,NULL,0.00
Asia,Singapore,2021-02-04,5850343,NULL,0.00
Europe,Czechia,2020-05-27,10708982,NULL,0.00
Asia,Armenia,2020-12-22,2963234,NULL,0.00
Africa,Botswana,2020-12-03,2351625,NULL,0.00
Africa,Equatorial Guinea,2020-08-17,1402985,NULL,0.00
Europe,Monaco,2020-04-05,39244,NULL,0.00
Asia,United Arab Emirates,2020-06-17,9890400,NULL,0.00
Asia,Afghanistan,2020-10-27,38928341,NULL,0.00
Africa,Kenya,2021-03-05,53771300,NULL,0.00
Europe,Moldova,2020-09-23,4033963,NULL,0.00
Asia,Myanmar,2020-11-01,54409794,NULL,0.00
North America,Saint Vincent and the Grenadines,2020-03-22,110947,NULL,0.00
Europe,Switzerland,2020-07-27,8654618,NULL,0.00
Africa,Burkina Faso,2021-04-16,20903278,NULL,0.00
Asia,Nepal,2020-08-13,29136808,NULL,0.00
North America,Saint Lucia,2021-04-05,183629,NULL,0.00
North America,Saint Kitts and Nevis,2020-12-31,53192,NULL,0.00
Europe,Bulgaria,2020-04-20,6948445,NULL,0.00
North America,Costa Rica,2020-12-01,5094114,NULL,0.00
Asia,Georgia,2020-06-01,3989175,NULL,0.00
Asia,Jordan,2020-12-28,10203140,NULL,0.00
Asia,Singapore,2020-08-10,5850343,NULL,0.00
Asia,Azerbaijan,2020-09-09,10139175,NULL,0.00
North America,Grenada,2021-01-18,112519,NULL,0.00
North America,Haiti,2020-04-09,11402533,NULL,0.00
North America,Barbados,2020-07-14,287371,NULL,0.00
Asia,China,2021-01-05,1439323774,NULL,0.00
Africa,Eritrea,2020-05-08,3546427,NULL,0.00
Asia,Maldives,2020-05-05,540542,NULL,0.00
Europe,Slovakia,2020-05-28,5459643,NULL,0.00
Asia,Armenia,2020-06-27,2963234,NULL,0.00
Europe,Germany,2020-09-22,83783945,NULL,0.00
Asia,Israel,2020-08-21,8655541,NULL,0.00
Africa,Somalia,2020-12-27,15893219,NULL,0.00
Africa,Uganda,2020-11-21,45741000,NULL,0.00
Europe,Croatia,2020-09-29,4105268,NULL,0.00
North America,Dominica,2020-10-18,71991,NULL,0.00
North America,Nicaragua,2020-06-04,6624554,NULL,0.00
Oceania,Papua New Guinea,2020-11-02,8947027,NULL,0.00
South America,Paraguay,2020-04-04,7132530,NULL,0.00
Africa,Ethiopia,2020-04-11,114963583,NULL,0.00
Africa,Guinea,2020-06-30,13132792,NULL,0.00
Oceania,New Zealand,2020-12-14,4822233,NULL,0.00
Europe,Romania,2020-07-31,19237682,NULL,0.00
Africa,Zimbabwe,2020-05-10,14862927,NULL,0.00
South America,Suriname,2021-01-16,586634,NULL,0.00
Asia,Taiwan,2020-10-07,23816775,NULL,0.00
North America,Costa Rica,2020-06-13,5094114,NULL,0.00
Africa,Gabon,2021-04-04,2225728,NULL,0.00
Europe,Luxembourg,2020-04-16,625976,NULL,0.00
Asia,Timor,2020-12-03,1318442,NULL,0.00
Africa,Congo,2020-07-06,5518092,NULL,0.00
Asia,Iran,2020-07-04,83992953,NULL,0.00
Europe,Moldova,2020-03-22,4033963,NULL,0.00
Africa,Libya,2021-03-09,6871287,NULL,0.00
South America,Paraguay,2020-09-29,7132530,NULL,0.00
Asia,Afghanistan,2020-11-03,38928341,NULL,0.00
Africa,Eswatini,2020-09-20,1160164,NULL,0.00
Europe,Lithuania,2020-11-14,2722291,NULL,0.00
Asia,Oman,2020-11-02,5106622,NULL,0.00
Asia,Timor,2020-06-08,1318442,NULL,0.00
Asia,Cambodia,2020-03-14,16718971,NULL,0.00
Asia,Kazakhstan,2020-09-02,18776707,NULL,0.00
Africa,Mauritius,2020-10-24,1271767,NULL,0.00
Africa,Chad,2020-10-16,16425859,NULL,0.00
Africa,Democratic Republic of Congo,2020-11-13,89561404,NULL,0.00
Europe,North Macedonia,2020-03-29,2083380,NULL,0.00
Africa,Rwanda,2020-06-17,12952209,NULL,0.00
Africa,Ethiopia,2021-04-02,114963583,NULL,0.00
Asia,Malaysia,2020-03-23,32365998,NULL,0.00
Europe,Norway,2020-10-27,5421242,NULL,0.00
North America,Saint Kitts and Nevis,2020-06-12,53192,NULL,0.00
Africa,Burkina Faso,2021-04-23,20903278,NULL,0.00
Africa,Cameroon,2020-12-02,26545864,NULL,0.00
Europe,Croatia,2020-03-28,4105268,NULL,0.00
North America,Honduras,2021-01-13,9904608,NULL,0.00
Asia,Laos,2020-07-04,7275556,NULL,0.00
Africa,Mauritania,2021-04-15,4649660,NULL,0.00
Asia,South Korea,2020-10-24,51269183,NULL,0.00
Africa,Morocco,2020-05-19,36910558,NULL,0.00
Asia,Sri Lanka,2020-07-25,21413250,NULL,0.00
Africa,Burkina Faso,2020-10-27,20903278,NULL,0.00
Africa,Central African Republic,2020-05-24,4829764,NULL,0.00
Africa,Eswatini,2021-03-17,1160164,NULL,0.00
North America,Saint Lucia,2020-10-16,183629,NULL,0.00
Africa,South Africa,2020-07-13,59308690,NULL,0.00
South America,Venezuela,2020-11-15,28435943,NULL,0.00
Asia,Bhutan,2020-08-12,771612,NULL,0.00
North America,Haiti,2021-04-24,11402533,NULL,0.00
Europe,North Macedonia,2021-03-20,2083380,NULL,0.00
Africa,Seychelles,2020-04-16,98340,NULL,0.00
North America,Trinidad and Tobago,2021-02-12,1399491,NULL,0.00
South America,Brazil,2021-04-17,212559409,NULL,0.00
Asia,Cambodia,2020-02-19,16718971,NULL,0.00
Africa,Liberia,2020-05-16,5057677,NULL,0.00
Europe,Liechtenstein,2020-06-20,38137,NULL,0.00
South America,Uruguay,2020-06-08,3473727,NULL,0.00
North America,Bahamas,2020-07-25,393248,NULL,0.00
Asia,Bhutan,2021-03-02,771612,NULL,0.00
Africa,Djibouti,2021-03-18,988002,NULL,0.00
North America,El Salvador,2020-06-27,6486201,NULL,0.00
Africa,Gambia,2020-12-15,2416664,NULL,0.00
Africa,Guinea-Bissau,2020-09-19,1967998,NULL,0.00
Asia,Jordan,2020-06-26,10203140,NULL,0.00
Africa,Uganda,2020-05-20,45741000,NULL,0.00
Europe,Sweden,2020-12-17,10099270,NULL,0.00
Africa,Chad,2020-04-21,16425859,NULL,0.00
Asia,India,2021-01-06,1380004385,NULL,0.00
Europe,Ireland,2020-11-16,4937796,NULL,0.00
Asia,Israel,2020-03-03,8655541,NULL,0.00
Asia,Mongolia,2020-08-05,3278292,NULL,0.00
Asia,Singapore,2020-02-21,5850343,NULL,0.00
Asia,Syria,2021-04-23,17500657,NULL,0.00
South America,Uruguay,2020-12-03,3473727,NULL,0.00
North America,Cuba,2020-05-31,11326616,NULL,0.00
Oceania,Fiji,2021-01-09,896444,NULL,0.00
North America,Grenada,2020-07-31,112519,NULL,0.00
Asia,Kazakhstan,2021-03-23,18776707,NULL,0.00
North America,Nicaragua,2020-11-22,6624554,NULL,0.00
Africa,Togo,2021-03-20,8278737,NULL,0.00
Europe,Andorra,2021-01-24,77265,NULL,0.00
Africa,Democratic Republic of Congo,2020-04-25,89561404,NULL,0.00
North America,Jamaica,2020-10-30,2961161,NULL,0.00
Europe,San Marino,2020-10-03,33938,NULL,0.00
Europe,Austria,2020-05-11,9006400,NULL,0.00
Europe,Bosnia and Herzegovina,2020-11-18,3280815,NULL,0.00
Africa,Burundi,2021-04-25,11890781,NULL,0.00
Africa,Libya,2020-09-12,6871287,NULL,0.00
Africa,Comoros,2020-12-08,869595,NULL,0.00
South America,Ecuador,2020-04-12,17643060,NULL,0.00
South America,Argentina,2020-06-24,45195777,NULL,0.00
Europe,Montenegro,2021-02-15,628062,NULL,0.00
North America,Panama,2020-07-18,4314768,NULL,0.00
Europe,Portugal,2020-11-17,10196707,NULL,0.00
Asia,Yemen,2020-10-31,29825968,NULL,0.00
Europe,Greece,2020-07-01,10423056,NULL,0.00
Europe,Iceland,2020-03-07,341250,NULL,0.00
Africa,Lesotho,2021-04-04,2142252,NULL,0.00
Europe,Andorra,2020-07-30,77265,NULL,0.00
Asia,Brunei,2020-06-29,437483,NULL,0.00
Africa,Central African Republic,2020-11-18,4829764,NULL,0.00
Europe,Ireland,2020-05-22,4937796,NULL,0.00
Europe,Belarus,2020-05-09,9449321,NULL,0.00
Africa,Gabon,2020-04-13,2225728,NULL,0.00
Africa,Mali,2021-01-03,20250834,NULL,0.00
Africa,Senegal,2020-03-11,16743930,NULL,0.00
Europe,Serbia,2021-01-05,6804596,NULL,0.00
Africa,Cape Verde,2020-07-12,555988,NULL,0.00
Europe,Malta,2020-10-30,441539,NULL,0.00
Africa,Mozambique,2020-12-20,31255435,NULL,0.00
Africa,Somalia,2020-06-08,15893219,NULL,0.00
Asia,Syria,2020-04-15,17500657,NULL,0.00
Africa,Algeria,2020-08-12,43851043,NULL,0.00
Africa,Benin,2021-01-16,12123198,NULL,0.00
Africa,Equatorial Guinea,2020-08-10,1402985,NULL,0.00
Asia,Myanmar,2020-10-25,54409794,NULL,0.00
Europe,Switzerland,2020-08-03,8654618,NULL,0.00
Asia,Armenia,2020-07-04,2963234,NULL,0.00
North America,Dominica,2020-11-11,71991,NULL,0.00
Asia,India,2020-07-12,1380004385,NULL,0.00
Europe,Kosovo,2020-06-07,1932774,NULL,0.00
Europe,Latvia,2020-06-27,1886202,NULL,0.00
Africa,Mauritius,2021-04-20,1271767,NULL,0.00
Africa,Burundi,2020-10-29,11890781,NULL,0.00
Asia,Japan,2020-05-20,126476458,NULL,0.00
Europe,Italy,2020-06-26,60461828,NULL,0.00
North America,Mexico,2020-12-09,128932753,NULL,0.00
Europe,Cyprus,2021-02-27,875899,NULL,0.00
Europe,Germany,2020-08-29,83783945,NULL,0.00
Africa,Ghana,2020-04-30,31072945,NULL,0.00
Africa,Kenya,2021-02-26,53771300,NULL,0.00
Asia,Pakistan,2020-11-28,220892331,NULL,0.00
South America,Suriname,2020-07-22,586634,NULL,0.00
Africa,Tunisia,2020-05-01,11818618,NULL,0.00
Asia,Jordan,2020-12-21,10203140,NULL,0.00
Asia,Kyrgyzstan,2021-01-03,6524191,NULL,0.00
Europe,Luxembourg,2020-10-11,625976,NULL,0.00
Africa,Somalia,2020-07-02,15893219,NULL,0.00
Asia,Vietnam,2020-10-10,97338583,NULL,0.00
Europe,Finland,2020-04-06,5540718,NULL,0.00
Asia,Sri Lanka,2021-01-19,21413250,NULL,0.00
Oceania,Australia,2020-03-25,25499881,NULL,0.00
Europe,Belgium,2020-03-23,11589616,NULL,0.00
Africa,Gabon,2020-10-08,2225728,NULL,0.00
Africa,Madagascar,2020-06-28,27691019,NULL,0.00
Africa,Mali,2020-07-09,20250834,NULL,0.00
North America,Saint Lucia,2020-04-21,183629,NULL,0.00
Africa,Senegal,2020-09-05,16743930,NULL,0.00
North America,United States,2020-04-30,331002647,NULL,0.00
North America,Saint Vincent and the Grenadines,2021-03-06,110947,NULL,0.00
Asia,Thailand,2020-04-30,69799978,NULL,0.00
North America,Belize,2020-09-15,397621,NULL,0.00
Asia,Bhutan,2020-09-05,771612,NULL,0.00
Africa,Gambia,2020-06-20,2416664,NULL,0.00
Europe,Montenegro,2020-08-21,628062,NULL,0.00
Africa,Congo,2020-12-31,5518092,NULL,0.00
Europe,Moldova,2020-09-16,4033963,NULL,0.00
Asia,Oman,2020-05-08,5106622,NULL,0.00
South America,Argentina,2020-12-19,45195777,NULL,0.00
South America,Bolivia,2021-02-13,11673029,NULL,0.00
Europe,Denmark,2020-06-03,5792203,NULL,0.00
Africa,Ghana,2020-04-06,31072945,NULL,0.00
North America,Honduras,2020-07-19,9904608,NULL,0.00
Asia,Tajikistan,2021-02-05,9537642,NULL,0.00
Europe,Vatican,2020-12-30,809,NULL,0.00
Africa,Malawi,2020-07-24,19129955,NULL,0.00
Asia,Nepal,2020-02-24,29136808,NULL,0.00
Africa,Sao Tome and Principe,2020-07-29,219161,NULL,0.00
Europe,Monaco,2021-04-20,39244,NULL,0.00
South America,Peru,2020-05-12,32971846,NULL,0.00
Africa,South Sudan,2021-02-11,11193729,NULL,0.00
Africa,Cote d'Ivoire,2020-07-08,26378275,NULL,0.00
Europe,Denmark,2020-11-28,5792203,NULL,0.00
Europe,France,2020-04-23,68147687,NULL,0.00
North America,Turks and Caicos Islands,2021-02-25,38718,NULL,0.00
North America,Canada,2020-08-07,37742157,NULL,0.00
North America,Montserrat,2021-02-15,4999,NULL,0.00
Europe,Netherlands,2020-05-13,17134873,NULL,0.00
North America,Saint Vincent and the Grenadines,2020-09-09,110947,NULL,0.00
Asia,Bahrain,2020-07-06,1701583,NULL,0.00
Asia,Bangladesh,2020-11-24,164689383,NULL,0.00
Asia,Indonesia,2020-06-13,273523621,NULL,0.00
Europe,Malta,2020-10-06,441539,NULL,0.00
Asia,Thailand,2021-04-14,69799978,NULL,0.00
Asia,China,2020-06-17,1439323774,NULL,0.00
Europe,Czechia,2020-11-14,10708982,NULL,0.00
Europe,Finland,2020-04-30,5540718,NULL,0.00
Europe,Serbia,2020-12-12,6804596,NULL,0.00
Africa,Angola,2020-11-11,32866268,NULL,0.00
Asia,Azerbaijan,2020-03-22,10139175,NULL,0.00
Africa,Libya,2020-09-19,6871287,NULL,0.00
Asia,Malaysia,2020-02-14,32365998,NULL,0.00
Africa,Morocco,2020-05-12,36910558,NULL,0.00
Europe,Norway,2020-09-19,5421242,NULL,0.00
Africa,Uganda,2020-06-27,45741000,NULL,0.00
Asia,Bhutan,2020-03-18,771612,NULL,0.00
Europe,Croatia,2020-05-05,4105268,NULL,0.00
Asia,Mongolia,2020-07-29,3278292,NULL,0.00
Oceania,Papua New Guinea,2020-06-08,8947027,NULL,0.00
Africa,Congo,2020-07-13,5518092,NULL,0.00
Europe,Denmark,2020-10-21,5792203,NULL,0.00
Europe,Kosovo,2020-12-26,1932774,NULL,0.00
Europe,North Macedonia,2020-09-23,2083380,NULL,0.00
Africa,Rwanda,2020-12-12,12952209,NULL,0.00
Africa,Sierra Leone,2020-07-21,7976985,NULL,0.00
Asia,Afghanistan,2020-05-09,38928341,NULL,0.00
Europe,Austria,2020-11-05,9006400,NULL,0.00
Africa,Eritrea,2020-11-26,3546427,NULL,0.00
Asia,Hong Kong,2020-09-26,7496988,NULL,0.00
Africa,Togo,2020-09-23,8278737,NULL,0.00
South America,Paraguay,2020-04-11,7132530,NULL,0.00
Africa,Eritrea,2020-10-19,3546427,NULL,0.00
Asia,Tajikistan,2020-08-11,9537642,NULL,0.00
Asia,Azerbaijan,2020-09-16,10139175,NULL,0.00
South America,Colombia,2020-11-19,50882884,NULL,0.00
North America,Guatemala,2020-02-24,17915567,NULL,0.00
Asia,Indonesia,2020-12-08,273523621,NULL,0.00
Asia,Cambodia,2021-02-26,16718971,NULL,0.00
Africa,Cote d'Ivoire,2021-01-02,26378275,NULL,0.00
Africa,Djibouti,2020-09-21,988002,NULL,0.00
Europe,France,2020-10-18,68147687,NULL,0.00
Asia,Oman,2020-11-26,5106622,NULL,0.00
Europe,Albania,2020-10-31,2877800,NULL,0.00
South America,Argentina,2020-05-31,45195777,NULL,0.00
Europe,Italy,2020-12-21,60461828,NULL,0.00
Asia,Kuwait,2020-06-12,4270563,NULL,0.00
Asia,Philippines,2021-01-04,109581085,NULL,0.00
Europe,Portugal,2020-12-11,10196707,NULL,0.00
North America,United States,2020-10-25,331002647,NULL,0.00
Africa,Equatorial Guinea,2021-02-04,1402985,NULL,0.00
Africa,Mozambique,2020-03-28,31255435,NULL,0.00
Europe,San Marino,2020-04-08,33938,NULL,0.00
Europe,Ukraine,2020-04-15,43733759,NULL,0.00
North America,Antigua and Barbuda,2020-04-06,97928,NULL,0.00
Africa,Mauritania,2020-10-19,4649660,NULL,0.00
Asia,Palestine,2020-11-07,5101416,NULL,0.00
Europe,Slovakia,2020-06-04,5459643,NULL,0.00
Asia,Uzbekistan,2021-01-25,33469199,NULL,0.00
Asia,Yemen,2020-05-06,29825968,NULL,0.00
Asia,Israel,2020-08-28,8655541,NULL,0.00
Asia,Lebanon,2020-04-18,6825442,NULL,0.00
Africa,Mauritius,2020-04-29,1271767,NULL,0.00
Africa,Nigeria,2021-01-27,206139587,NULL,0.00
Asia,Vietnam,2020-05-23,97338583,NULL,0.00
North America,Cayman Islands,2021-04-03,65720,NULL,0.00
Asia,Indonesia,2020-05-20,273523621,NULL,0.00
Europe,Kosovo,2020-11-25,1932774,NULL,0.00
Europe,Montenegro,2020-04-03,628062,NULL,0.00
Europe,Netherlands,2020-10-24,17134873,NULL,0.00
Europe,Ukraine,2020-04-08,43733759,NULL,0.00
Africa,Chad,2020-11-23,16425859,NULL,0.00
Europe,Iceland,2020-09-25,341250,NULL,0.00
Africa,Mozambique,2020-05-05,31255435,NULL,0.00
North America,United States,2020-05-14,331002647,NULL,0.00
Africa,Botswana,2020-05-08,2351625,NULL,0.00
Asia,Bahrain,2020-05-29,1701583,NULL,0.00
Asia,Qatar,2020-11-10,2881060,NULL,0.00
Asia,Yemen,2020-06-13,29825968,NULL,0.00
Asia,Afghanistan,2020-05-16,38928341,NULL,0.00
North America,Bahamas,2020-12-12,393248,NULL,0.00
North America,Dominican Republic,2020-11-02,10847904,NULL,0.00
North America,Mexico,2020-06-14,128932753,NULL,0.00
Europe,Monaco,2020-10-24,39244,NULL,0.00
Europe,Poland,2020-08-18,37846605,NULL,0.00
Europe,Russia,2020-03-28,145934460,NULL,0.00
Europe,United Kingdom,2020-06-03,67886004,NULL,0.00
Africa,Botswana,2020-06-15,2351625,NULL,0.00
Africa,Burkina Faso,2020-05-02,20903278,NULL,0.00
Europe,Cyprus,2020-03-15,875899,NULL,0.00
Africa,Ghana,2021-04-14,31072945,NULL,0.00
North America,Greenland,2021-04-07,56772,NULL,0.00
North America,Jamaica,2021-04-26,2961161,NULL,0.00
Africa,Kenya,2020-03-14,53771300,NULL,0.00
Africa,Malawi,2021-01-18,19129955,NULL,0.00
Asia,Saudi Arabia,2021-01-03,34813867,NULL,0.00
Asia,Turkey,2020-12-02,84339067,NULL,0.00
South America,Guyana,2021-01-11,786559,NULL,0.00
North America,Haiti,2020-10-28,11402533,NULL,0.00
Oceania,Micronesia (country),2021-03-21,115021,NULL,0.00
Asia,Georgia,2020-12-20,3989175,NULL,0.00
Europe,Greece,2020-12-26,10423056,NULL,0.00
Asia,Maldives,2020-10-23,540542,NULL,0.00
Africa,Morocco,2020-06-12,36910558,NULL,0.00
Europe,Spain,2020-06-13,46754783,NULL,0.00
Africa,Tunisia,2020-11-19,11818618,NULL,0.00
Africa,Cape Verde,2021-01-06,555988,NULL,0.00
Asia,Saudi Arabia,2020-08-02,34813867,NULL,0.00
Africa,Sudan,2020-03-15,43849269,NULL,0.00
Africa,Tanzania,2020-12-28,59734213,NULL,0.00
Africa,Congo,2020-06-12,5518092,NULL,0.00
Africa,Mozambique,2020-11-26,31255435,NULL,0.00
Asia,Myanmar,2021-04-21,54409794,NULL,0.00
Asia,Turkey,2020-12-09,84339067,NULL,0.00
Africa,Algeria,2021-02-06,43851043,NULL,0.00
Europe,Belarus,2020-11-03,9449321,NULL,0.00
Europe,Croatia,2020-10-30,4105268,NULL,0.00
North America,Dominican Republic,2020-09-25,10847904,NULL,0.00
North America,Guatemala,2020-02-17,17915567,NULL,0.00
Africa,Libya,2020-03-25,6871287,NULL,0.00
Asia,Malaysia,2021-02-21,32365998,NULL,0.00
Europe,Slovenia,2020-08-08,2078932,NULL,0.00
North America,Barbados,2020-06-13,287371,NULL,0.00
Africa,Djibouti,2021-02-08,988002,NULL,0.00
Europe,Italy,2020-07-03,60461828,NULL,0.00
Asia,Philippines,2020-12-21,109581085,NULL,0.00
Asia,Uzbekistan,2020-12-18,33469199,NULL,0.00
South America,Argentina,2020-11-11,45195777,NULL,0.00
North America,El Salvador,2020-05-27,6486201,NULL,0.00
Europe,France,2020-09-10,68147687,NULL,0.00
Europe,Netherlands,2020-04-29,17134873,NULL,0.00
Asia,Georgia,2020-07-02,3989175,NULL,0.00
Asia,Jordan,2021-01-28,10203140,NULL,0.00
North America,Mexico,2020-01-26,128932753,NULL,0.00
Africa,Nigeria,2020-08-09,206139587,NULL,0.00
Asia,Saudi Arabia,2021-02-10,34813867,NULL,0.00
Africa,Sierra Leone,2020-08-28,7976985,NULL,0.00
South America,Venezuela,2021-04-04,28435943,NULL,0.00
Africa,Comoros,2020-07-21,869595,NULL,0.00
Africa,Ghana,2021-04-21,31072945,NULL,0.00
Africa,Angola,2020-05-24,32866268,NULL,0.00
Europe,Lithuania,2020-04-19,2722291,NULL,0.00
Africa,Niger,2020-05-09,24206636,NULL,0.00
North America,Saint Vincent and the Grenadines,2020-09-23,110947,NULL,0.00
Asia,Sri Lanka,2021-01-12,21413250,NULL,0.00
Africa,Cape Verde,2021-02-13,555988,NULL,0.00
Europe,Jersey,2021-03-11,101073,NULL,0.00
Oceania,New Zealand,2020-06-26,4822233,NULL,0.00
Europe,San Marino,2020-04-15,33938,NULL,0.00
Asia,Saudi Arabia,2020-09-09,34813867,NULL,0.00
Asia,Thailand,2020-10-18,69799978,NULL,0.00
North America,Barbados,2021-01-01,287371,NULL,0.00
North America,Belize,2020-03-28,397621,NULL,0.00
Europe,Czechia,2020-05-20,10708982,NULL,0.00
South America,Ecuador,2020-11-07,17643060,NULL,0.00
Africa,Morocco,2020-11-06,36910558,NULL,0.00
Asia,Pakistan,2020-05-10,220892331,NULL,0.00
Asia,Bhutan,2020-09-12,771612,NULL,0.00
North America,Costa Rica,2020-05-06,5094114,NULL,0.00
North America,El Salvador,2020-12-15,6486201,NULL,0.00
Africa,Gabon,2020-10-01,2225728,NULL,0.00
Africa,Guinea-Bissau,2021-03-09,1967998,NULL,0.00
Africa,Kenya,2021-04-05,53771300,NULL,0.00
Europe,Russia,2020-02-19,145934460,NULL,0.00
Asia,United Arab Emirates,2020-06-10,9890400,NULL,0.00
South America,Venezuela,2020-04-20,28435943,NULL,0.00
Europe,Albania,2020-11-07,2877800,NULL,0.00
South America,Suriname,2020-06-14,586634,NULL,0.00
Africa,Cameroon,2020-06-14,26545864,NULL,0.00
North America,Canada,2020-09-14,37742157,NULL,0.00
