continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
Africa,Morocco,2021-04-11,36910558,8635238,23.40
Asia,Bangladesh,2021-04-29,164689383,8625350,5.24
Europe,Italy,2021-03-24,60461828,8618718,14.25
Europe,Germany,2021-03-10,83783945,8616667,10.28
Asia,Israel,2021-03-05,8655541,8609744,99.47
Africa,Morocco,2021-04-10,36910558,8606571,23.32
North America,Canada,2021-04-13,37742157,8601331,22.79
Asia,United Arab Emirates,2021-04-05,9890400,8596722,86.92
Asia,United Arab Emirates,2021-04-04,9890400,8578979,86.74
Europe,France,2021-03-19,68147687,8571988,12.58
Asia,United Arab Emirates,2021-04-03,9890400,8559291,86.54
Africa,Morocco,2021-04-09,36910558,8552304,23.17
Asia,Israel,2021-03-04,8655541,8552240,98.81
Europe,Spain,2021-04-03,46754783,8548598,18.28
Asia,Turkey,2021-02-28,84339067,8547875,10.14
Asia,Bangladesh,2021-04-28,164689383,8517801,5.17
Asia,India,2021-02-15,1380004385,8516771,0.62
Asia,Turkey,2021-02-27,84339067,8514775,10.10
Africa,Morocco,2021-04-08,36910558,8509229,23.05
Asia,United Arab Emirates,2021-04-02,9890400,8491382,85.85
South America,Chile,2021-03-21,19116209,8486219,44.39
Europe,Poland,2021-04-15,37846605,8484815,22.42
South America,Chile,2021-03-20,19116209,8482199,44.37
South America,Brazil,2021-03-01,212559409,8465403,3.98
Africa,Morocco,2021-04-07,36910558,8448106,22.89
South America,Chile,2021-03-19,19116209,8448074,44.19
